Day Index,Pageviews
5/8/18,39951.00
5/9/18,45304.00
5/10/18,41700.00
5/11/18,34709.00
5/12/18,38253.00
5/13/18,47592.00
5/14/18,50124.00
5/15/18,46062.00
5/16/18,41600.00
5/17/18,37213.00
5/18/18,34310.00
5/19/18,36570.00
5/20/18,55095.00
5/21/18,48054.00
5/22/18,41100.00
5/23/18,38005.00
5/24/18,33306.00
5/25/18,28485.00
5/26/18,37059.00
5/27/18,42941.00
5/28/18,51807.00
5/29/18,46793.00
5/30/18,44165.00
5/31/18,39804.00
6/1/18,31489.00
6/2/18,37277.00
6/3/18,61264.00
6/4/18,51552.00
6/5/18,43875.00
6/6/18,39413.00
6/7/18,34720.00
6/8/18,33016.00
6/9/18,39887.00
6/10/18,61794.00
6/11/18,56687.00
6/12/18,45335.00
6/13/18,45514.00
6/14/18,39479.00
6/15/18,32861.00
6/16/18,37723.00
6/17/18,48629.00
6/18/18,54573.00
6/19/18,49507.00
6/20/18,41265.00
6/21/18,36287.00
6/22/18,32237.00
6/23/18,40317.00
6/24/18,54991.00
6/25/18,60505.00
6/26/18,47950.00
6/27/18,47016.00
6/28/18,46202.00
6/29/18,37799.00
6/30/18,39160.00
7/1/18,55311.00
7/2/18,51872.00
7/3/18,41662.00
7/4/18,38452.00
7/5/18,40211.00
7/6/18,37346.00
7/7/18,41242.00
7/8/18,77856.00
7/9/18,66968.00
7/10/18,50864.00
7/11/18,45038.00
7/12/18,37343.00
7/13/18,32209.00
7/14/18,40887.00
7/15/18,55232.00
7/16/18,51848.00
7/17/18,45764.00
7/18/18,41201.00
7/19/18,39419.00
7/20/18,38246.00
7/21/18,43994.00
7/22/18,71068.00
7/23/18,61653.00
7/24/18,53108.00
7/25/18,44840.00
7/26/18,40658.00
7/27/18,39905.00
7/28/18,44008.00
7/29/18,76838.00
7/30/18,59987.00
7/31/18,55721.00
8/1/18,43557.00
8/2/18,42759.00
8/3/18,48878.00
8/4/18,40348.00
8/5/18,55514.00
8/6/18,52539.00
8/7/18,51949.00
8/8/18,46267.00
8/9/18,41320.00
8/10/18,37118.00
8/11/18,41227.00
8/12/18,60685.00
8/13/18,51338.00
8/14/18,46220.00
8/15/18,40333.00
8/16/18,37772.00
8/17/18,35323.00
8/18/18,43993.00
8/19/18,59170.00
8/20/18,50249.00
8/21/18,43463.00
8/22/18,37027.00
8/23/18,35013.00
8/24/18,35187.00
8/25/18,42435.00
8/26/18,64925.00
8/27/18,51495.00
8/28/18,45317.00
8/29/18,38816.00
8/30/18,30112.00
8/31/18,12544.00
9/1/18,34566.00
9/2/18,48818.00
9/3/18,61348.00
9/4/18,45704.00
9/5/18,40032.00
9/6/18,36425.00
9/7/18,31276.00
9/8/18,42114.00
9/9/18,65531.00
9/10/18,46779.00
9/11/18,42086.00
9/12/18,35205.00
9/13/18,33871.00
9/14/18,32607.00
9/15/18,39781.00
9/16/18,58411.00
9/17/18,50412.00
9/18/18,40778.00
9/19/18,40043.00
9/20/18,35040.00
9/21/18,34328.00
9/22/18,42651.00
9/23/18,68780.00
9/24/18,50522.00
9/25/18,42235.00
9/26/18,39225.00
9/27/18,36630.00
9/28/18,33946.00
9/29/18,45061.00
9/30/18,69562.00
10/1/18,55968.00
10/2/18,51841.00
10/3/18,48476.00
10/4/18,42998.00
10/5/18,40953.00
10/6/18,59278.00
10/7/18,67899.00
10/8/18,58722.00
10/9/18,48066.00
